1	N	48
1	J	48
0	J	48
1	R	48
2	N	49
2	J	49
1	W	49
2	R	49
3	N	63
3	J	64
2	J	64
3	R	64
3	W	68
2	R	68
2	E	73
1	J	73
1	R	73
4	N	74
4	J	74
1	W	74
4	R	74
5	N	106
5	J	106
4	W	107
5	R	107
4	J	109
5	E	109
4	R	109
4	W	115
0	R	115
0	W	115
4	J	2471
4	R	2471
4	W	2471
0	R	2471
4	J	2543
4	R	2543
4	W	2544
0	R	2544
4	J	2669
4	R	2669
4	W	2669
0	R	2669
4	J	2778
4	R	2778
4	W	2778
0	R	2778
3	J	3067
3	R	3067
3	W	3067
0	R	3067
4	J	4477
4	R	4477
4	W	4477
0	R	4477
4	J	4622
4	R	4622
4	W	4622
0	R	4622
4	J	4623
4	R	4623
4	W	4623
0	R	4623
4	J	4748
4	R	4748
4	W	4748
0	R	4748
4	J	4875
4	R	4875
4	W	4875
0	R	4875
4	J	4965
4	R	4965
4	W	4965
0	R	4965
4	J	4983
4	R	4983
4	W	4983
0	R	4983
4	J	5146
4	R	5146
4	W	5146
0	R	5146
4	J	5291
4	R	5291
4	W	5291
0	R	5291
4	J	5418
4	R	5418
4	W	5418
0	R	5418
4	J	5580
4	R	5580
4	W	5580
0	R	5580
4	J	5670
4	R	5670
4	W	5670
0	R	5670
4	J	5779
4	R	5779
4	W	5779
0	R	5779
4	J	5887
4	R	5887
4	W	5887
0	R	5887
4	J	6484
4	R	6484
6	N	6485
6	J	6485
4	W	6486
6	R	6486
7	N	6487
7	J	6488
8	N	6489
8	J	6489
9	N	6490
9	J	6490
10	N	6490
10	J	6491
11	N	6491
11	J	6492
12	N	6492
12	J	6492
13	N	6493
13	J	6493
14	N	6494
14	J	6494
15	N	6494
15	J	6495
16	N	6495
16	J	6496
6	W	6496
16	R	6496
16	J	6511
15	R	6511
15	J	6526
14	R	6526
14	J	6541
13	R	6541
13	J	6556
12	R	6556
12	J	6571
11	R	6571
11	J	6586
10	R	6586
10	J	6601
9	R	6601
9	J	6616
8	R	6616
8	J	6631
7	R	6631
7	W	6631
16	R	6631
16	J	6646
15	R	6646
15	J	6661
14	R	6661
14	J	6676
13	R	6676
13	J	6691
12	R	6691
12	J	6706
11	R	6706
11	J	6721
10	R	6721
7	J	6736
10	J	6736
7	R	6736
7	W	6736
9	R	6736
9	J	6751
8	R	6751
8	J	6766
16	R	6766
16	J	6781
15	R	6781
15	J	6796
14	R	6796
14	J	6811
13	R	6811
13	J	6826
12	R	6826
7	J	6841
12	J	6841
7	R	6841
7	W	6841
11	R	6841
11	J	6856
10	R	6856
10	J	6871
9	R	6871
9	J	6886
8	R	6886
8	J	6901
16	R	6901
16	J	6916
15	R	6916
15	J	6931
14	R	6931
7	J	6946
14	J	6946
7	R	6946
7	W	6946
13	R	6946
13	J	6961
12	R	6961
12	J	6976
11	R	6976
11	J	6991
10	R	6991
10	J	7006
9	R	7006
9	J	7021
8	R	7021
8	J	7036
16	R	7036
7	J	7051
16	J	7051
7	R	7051
7	W	7051
15	R	7051
15	J	7066
14	R	7066
14	J	7081
13	R	7081
13	J	7096
12	R	7096
12	J	7111
11	R	7111
11	J	7126
10	R	7126
10	J	7141
9	R	7141
7	J	7156
9	J	7156
7	R	7156
7	W	7156
8	R	7156
8	J	7171
16	R	7171
16	J	7186
15	R	7186
15	J	7201
14	R	7201
14	J	7216
13	R	7216
13	J	7231
12	R	7231
12	J	7246
11	R	7246
7	J	7261
11	J	7261
7	R	7261
7	W	7261
10	R	7261
10	J	7276
9	R	7276
9	J	7291
8	R	7291
8	J	7306
16	R	7306
16	J	7321
15	R	7321
15	J	7336
14	R	7336
14	J	7351
13	R	7351
7	J	7366
13	J	7366
7	R	7366
7	W	7366
12	R	7366
12	J	7381
11	R	7381
11	J	7396
